头,id,长度,设备号 ,流水号,时间,bms板类型,bms数据长度,总电压,总电流,soc,soh,最高单体电压,最高单体电压序号,最低单体电压,最低单体电压序号,最大压差,最高温度,最高温度序号,最低温度,最低温度序号,报警状态1,报警状态2,保护状态1,报警状态2,故障状态,系统状态,单体电压过高保护值,单体电压过高保护恢复值,单体电压过高报警值,单体电压过高保护延时,单体电压过高保护恢复延时,单体电压过高报警延时,单体电压过压保护使能标志,温度传感器个数,温度0,温度1,温度2,温度3,温度4,温度5,单体电池个数,均衡状态,第1个电池电压,第2个电池电压,第3个电池电压,第4个电池电压,第5个电池电压,第6个电池电压,第7个电池电压,校验位
7E,6021,005D,013620102030,0003,4,0005,0053,8417,F5FF,8007,6400,4C27,0600,5700,0000,F526,DC0B,0400,850B,0100,0700,0000,0700,0000,0000,1000,9A10,0410,0410,0A00,0A00,0A00,0000,0600,980B,850B,8C0B,AD0B,DC0B,BB0B,0700,00,5700,2727,1327,1327,1727,2327,4C27,D87E
7E,6021,005D,17777777778,0003,4,0005,0053,8417,F5FF,8007,6400,4C27,0600,5700,0000,F526,DC0B,0400,850B,0100,0700,0000,0700,0000,0000,1000,9A10,0410,0410,0A00,0A00,0A00,0000,0600,980B,850B,8C0B,AD0B,DC0B,BB0B,0700,00,5700,2727,1327,1327,1727,2327,4C27,D87E
7E,6021,005D,17777777778,0003,4,0005,0053,8417,F5FF,8007,6400,4C27,0600,5700,0000,F526,DC0B,0400,850B,0100,0700,0000,0700,0000,0000,1000,9A10,0410,0410,0A00,0A00,0A00,0000,0600,980B,850B,8C0B,AD0B,DC0B,BB0B,0700,00,5700,2727,1327,1327,1727,2327,4C27,D87E
7E,6021,005D,17777777778,0003,4,0005,0053,8417,F5FF,8007,6400,4C27,0600,5700,0000,F526,DC0B,0400,850B,0100,0700,0000,0700,0000,0000,1000,9A10,0410,0410,0A00,0A00,0A00,0000,0600,980B,850B,8C0B,AD0B,DC0B,BB0B,0700,00,5700,2727,1327,1327,1727,2327,4C27,D87E
7E,6021,005D,17777777778,0003,4,0005,0053,8417,F5FF,8007,6400,4C27,0600,5700,0000,F526,DC0B,0400,850B,0100,0700,0000,0700,0000,0000,1000,9A10,0410,0410,0A00,0A00,0A00,0000,0600,980B,850B,8C0B,AD0B,DC0B,BB0B,0700,00,5700,2727,1327,1327,1727,2327,4C27,D87E
7E,6021,005D,17777777778,0003,4,0005,0053,8417,F5FF,8007,6400,4C27,0600,5700,0000,F526,DC0B,0400,850B,0100,0700,0000,0700,0000,0000,1000,9A10,0410,0410,0A00,0A00,0A00,0000,0600,980B,850B,8C0B,AD0B,DC0B,BB0B,0700,00,5700,2727,1327,1327,1727,2327,4C27,D87E
7E,6021,005D,17777777778,0003,4,0005,0053,8417,F5FF,8007,6400,4C27,0600,5700,0000,F526,DC0B,0400,850B,0100,0700,0000,0700,0000,0000,1000,9A10,0410,0410,0A00,0A00,0A00,0000,0600,980B,850B,8C0B,AD0B,DC0B,BB0B,0700,00,5700,2727,1327,1327,1727,2327,4C27,D87E
7E,6021,005D,17777777778,0003,4,0005,0053,8417,F5FF,8007,6400,4C27,0600,5700,0000,F526,DC0B,0400,850B,0100,0700,0000,0700,0000,0000,1000,9A10,0410,0410,0A00,0A00,0A00,0000,0600,980B,850B,8C0B,AD0B,DC0B,BB0B,0700,00,5700,2727,1327,1327,1727,2327,4C27,D87E
7E,6021,005D,17777777778,0003,4,0005,0053,8417,F5FF,8007,6400,4C27,0600,5700,0000,F526,DC0B,0400,850B,0100,0700,0000,0700,0000,0000,1000,9A10,0410,0410,0A00,0A00,0A00,0000,0600,980B,850B,8C0B,AD0B,DC0B,BB0B,0700,00,5700,2727,1327,1327,1727,2327,4C27,D87E
7E,6021,005D,17777777778,0003,4,0005,0053,8417,F5FF,8007,6400,4C27,0600,5700,0000,F526,DC0B,0400,850B,0100,0700,0000,0700,0000,0000,1000,9A10,0410,0410,0A00,0A00,0A00,0000,0600,980B,850B,8C0B,AD0B,DC0B,BB0B,0700,00,5700,2727,1327,1327,1727,2327,4C27,D87E
