标识位,命令单元,车辆识别号,软件版本号,加密方式,数据单元长度,时间,信息流水号,信息类型,obd诊断协议,mil状态,支持诊断状态,诊断就绪状态,车辆识别号,软件标定识别号,标定验证码,iupr值,故障码总数,数据类型,车速,大气压值,发动机扭矩,摩擦扭矩,发动机转速,发动机燃料流量,上nox,下nox,尿素箱液位,进气量,入口温度,出口温度,dpf压差,冷却液温度,油箱液位,定位状态,纬度,经度,里程,补充位,发动机扭矩模式,油门踏板,累计油耗,尿素箱温度,实际尿素喷射量,累计尿素喷射量,dpf排气温度,,,
2323,2,3535363635353636353536363535373739,2,1,00a7,6,03C8,1,0,0,0,0,3535363635353636353536363535373739,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.72972,115.599,100,80,1,50,50,50,50,50,50,22,22,22
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.72972,115.599,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.7324,115.5922,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.73508,115.5854,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,23.10247,114.4226,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.74152,115.5725,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.7453,115.5666,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.74945,115.5612,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.7538,115.556,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.75813,115.5509,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.76243,115.5458,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.7665,115.5405,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.76993,115.5349,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.77308,115.5284,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.77593,115.5217,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.77935,115.5155,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.78312,115.5095,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.78617,115.503,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.78802,115.496,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.78865,115.4888,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.78825,115.4813,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.78728,115.4741,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.78625,115.467,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.78584,115.4595,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.78613,115.4519,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.78717,115.4444,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.78865,115.437,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.79012,115.4297,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.7911,115.4222,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.79112,115.4146,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.79028,115.407,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.78943,115.3996,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.78918,115.3925,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.78964,115.3849,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.79058,115.3774,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.79102,115.3698,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.79082,115.3628,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.78995,115.3553,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.7894,115.3478,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.78964,115.3402,100,80,1,50,50,50,50,50,50,,,
2323,2,3.23E+33,2,1,00a1,6,03C8,1,0,0,0,0,3.23E+33,3.03E+35,3.03E+35,3.03E+71,0,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,38.79048,115.333,100,80,1,50,50,50,50,50,50,,,
