终端号,报警标志,状态,纬度,经度,高程,速度,方向,位置附加信息
,无,ACC开，已定位，北斗定位,23.117245,114.42615,200,1,0,
,无,ACC开，已定位，北斗定位,24.117245,115.42615,200,2,0,
,无,ACC开，已定位，北斗定位,25.117245,116.42615,200,3,0,
,无,ACC开，已定位，北斗定位,26.117245,117.42615,200,4,0,
,无,ACC开，已定位，北斗定位,27.117245,118.42615,200,5,0,
,无,ACC开，已定位，北斗定位,28.117245,119.42615,200,6,0,
,无,ACC开，已定位，北斗定位,29.117245,120.42615,200,7,0,
,无,ACC开，已定位，北斗定位,30.117245,121.42615,200,8,0,
,无,ACC开，已定位，北斗定位,31.117245,122.42615,200,9,0,
,无,ACC开，已定位，北斗定位,32.117245,123.42615,200,10,0,
,无,ACC开，已定位，北斗定位,33.117245,124.42615,200,11,0,
,无,ACC开，已定位，北斗定位,34.117245,125.42615,200,12,0,
,无,ACC开，已定位，北斗定位,35.117245,126.42615,200,13,0,
,无,ACC开，已定位，北斗定位,36.117245,127.42615,200,14,0,
,无,ACC开，已定位，北斗定位,37.117245,128.42615,200,15,0,
,无,ACC开，已定位，北斗定位,38.117245,129.42615,200,16,0,
,无,ACC开，已定位，北斗定位,39.117245,130.42615,200,17,0,
,无,ACC开，已定位，北斗定位,40.117245,131.42615,200,18,0,
,无,ACC开，已定位，北斗定位,41.117245,132.42615,200,19,0,
,无,ACC开，已定位，北斗定位,42.117245,133.42615,201,20,1,
,无,ACC开，已定位，北斗定位,43.117245,134.42615,202,21,2,
,无,ACC开，已定位，北斗定位,44.117245,135.42615,203,22,3,
,无,ACC开，已定位，北斗定位,45.117245,136.42615,204,23,4,
,无,ACC开，已定位，北斗定位,46.117245,137.42615,205,24,5,
,无,ACC开，已定位，北斗定位,47.117245,138.42615,206,25,6,
,无,ACC开，已定位，北斗定位,48.117245,139.42615,207,26,7,
,无,ACC开，已定位，北斗定位,49.117245,140.42615,208,27,8,
,无,ACC开，已定位，北斗定位,50.117245,141.42615,209,28,9,
,无,ACC开，已定位，北斗定位,51.117245,142.42615,210,29,10,
,无,ACC开，已定位，北斗定位,52.117245,143.42615,211,30,11,
,无,ACC开，已定位，北斗定位,53.117245,144.42615,212,31,12,
,无,ACC开，已定位，北斗定位,54.117245,145.42615,213,32,13,
,无,ACC开，已定位，北斗定位,55.117245,146.42615,214,33,14,
,无,ACC开，已定位，北斗定位,56.117245,147.42615,215,34,15,
,无,ACC开，已定位，北斗定位,57.117245,148.42615,216,35,16,
,无,ACC开，已定位，北斗定位,58.117245,149.42615,217,36,17,
,无,ACC开，已定位，北斗定位,59.117245,150.42615,218,37,18,
,无,ACC开，已定位，北斗定位,60.117245,151.42615,219,38,19,
,无,ACC开，已定位，北斗定位,61.117245,152.42615,220,39,20,
,无,ACC开，已定位，北斗定位,62.117245,153.42615,221,40,21,
,无,ACC开，已定位，北斗定位,63.117245,154.42615,222,41,22,
,无,ACC开，已定位，北斗定位,64.117245,155.42615,223,42,23,
,无,ACC开，已定位，北斗定位,65.117245,156.42615,224,43,24,
,无,ACC开，已定位，北斗定位,66.117245,157.42615,225,44,25,
,无,ACC开，已定位，北斗定位,67.117245,158.42615,226,45,26,
,无,ACC开，已定位，北斗定位,68.117245,159.42615,227,46,27,
,无,ACC开，已定位，北斗定位,69.117245,160.42615,228,47,28,
,无,ACC开，已定位，北斗定位,70.117245,161.42615,229,48,29,
,无,ACC开，已定位，北斗定位,71.117245,162.42615,230,49,30,
,无,ACC开，已定位，北斗定位,72.117245,163.42615,231,50,31,
,无,ACC开，已定位，北斗定位,73.117245,164.42615,232,51,32,
,无,ACC开，已定位，北斗定位,74.117245,165.42615,233,52,33,
,无,ACC开，已定位，北斗定位,75.117245,166.42615,234,53,34,
,无,ACC开，已定位，北斗定位,76.117245,167.42615,235,54,35,
,无,ACC开，已定位，北斗定位,77.117245,168.42615,236,55,36,
,无,ACC开，已定位，北斗定位,78.117245,169.42615,237,56,37,
,无,ACC开，已定位，北斗定位,79.117245,170.42615,238,57,38,
,无,ACC开，已定位，北斗定位,80.117245,171.42615,239,58,39,
,无,ACC开，已定位，北斗定位,81.117245,172.42615,240,59,40,
,无,ACC开，已定位，北斗定位,82.117245,173.42615,241,60,41,
,无,ACC开，已定位，北斗定位,83.117245,174.42615,242,61,42,
,无,ACC开，已定位，北斗定位,84.117245,175.42615,243,62,43,
,无,ACC开，已定位，北斗定位,85.117245,176.42615,244,63,44,
,无,ACC开，已定位，北斗定位,86.117245,177.42615,245,64,45,
,无,ACC开，已定位，北斗定位,87.117245,178.42615,246,65,46,
,无,ACC开，已定位，北斗定位,88.117245,179.42615,247,66,47,
