终端号,报警标志,状态,纬度,经度,高程,速度,方向,位置附加信息
15566669039,,ACC开，已定位，GPS定位,22.560499,114.059339,200,60,0,
15566669040,,ACC开，已定位，GPS定位,22.54742,114.060756,200,60,0,
15566669041,,ACC开，已定位，GPS定位,22.541752,114.061099,200,60,0,
15566669042,,ACC开，已定位，GPS定位,22.534737,114.061013,200,60,0,
15566669043,,ACC开，已定位，GPS定位,22.523102,114.06479,200,60,0,
15566669044,,ACC开，已定位，GPS定位,22.51775,114.066056,200,60,0,
15566669045,,ACC开，已定位，GPS定位,22.515748,114.069274,200,60,0,
15566669046,,ACC开，已定位，GPS定位,36.696389,119.09964,200,60,0,
15566669047,,ACC开，已定位，GPS定位,36.701344,119.099426,200,60,0,
15566669048,,ACC开，已定位，GPS定位,36.707021,119.102515,200,60,0,
15566669049,,ACC开，已定位，GPS定位,36.71287,119.102773,200,60,0,
15566669050,,ACC开，已定位，GPS定位,36.719372,119.103245,200,60,0,
15566669051,,ACC开，已定位，GPS定位,36.719991,119.096765,200,60,0,
15566669052,,ACC开，已定位，GPS定位,36.720885,119.08713,200,60,0,
15566669053,,ACC开，已定位，GPS定位,36.724652,119.087452,200,60,0,
15566669054,,ACC开，已定位，GPS定位,36.724119,119.096507,200,60,0,
15566669055,,ACC开，已定位，GPS定位,36.730826,119.097816,200,60,0,
15566669056,,ACC开，已定位，GPS定位,36.736553,119.098267,200,60,0,
15566669057,,ACC开，已定位，GPS定位,36.737498,119.088718,200,60,0,
15566669074,,ACC开，已定位，GPS定位,36.747231,119.088289,200,60,0,
15566669075,,ACC开，已定位，GPS定位,36.747678,119.081551,200,60,0,
15566669076,,ACC开，已定位，GPS定位,36.738272,119.081058,200,60,0,
15566669077,,ACC开，已定位，GPS定位,36.738152,119.075178,200,60,0,
15566669078,,ACC开，已定位，GPS定位,36.738547,119.068097,200,60,0,
13711221122,,ACC开，已定位，GPS定位,36.738822,119.062711,200,60,0,"油量：80%；里程：200；温控：0、11、-20、无；胎压：[['左轮', '1', '75℃', '2Bar', '3Bar', '50%', '2.5Bar', '60摄氏度'], ['左轮', '3', '75℃', '2Bar', '3Bar', '50%', '4Bar', '60摄氏度'], ['右轮', '2', '75℃', '2Bar', '3Bar', '50%', '1Bar', '60摄氏度'], ['右轮', '4', '75℃', '2Bar', '3Bar', '50%', '2.5Bar', '90摄氏度']]"
15566669080,,ACC开，已定位，GPS定位,36.732872,119.06181,200,60,0,
15566669081,,ACC开，已定位，GPS定位,36.727748,119.061724,200,60,0,
15566669082,,ACC开，已定位，GPS定位,36.726011,119.073483,200,60,0,
15566669083,,ACC开，已定位，GPS定位,36.721642,119.073934,200,60,0,
15566669084,,ACC开，已定位，GPS定位,36.715553,119.073655,200,60,0,
15566669090,,ACC开，已定位，GPS定位,36.716086,119.061553,200,60,0,
15566669091,,ACC开，已定位，GPS定位,36.709498,119.060716,200,60,0,
15566669092,,ACC开，已定位，GPS定位,36.709498,119.06196,200,60,0,
15566669093,,ACC开，已定位，GPS定位,36.697301,119.063548,200,60,0,
15566669094,,ACC开，已定位，GPS定位,36.69768,119.075371,200,60,0,
15566669095,,ACC开，已定位，GPS定位,43.828507,87.477957,200,60,0,
15566669096,,ACC开，已定位，GPS定位,45.803582,126.534322,200,60,0,
15566669097,,ACC开，已定位，GPS定位,43.821746,125.31896,200,60,0,
15566669098,,ACC开，已定位，GPS定位,41.680204,123.459628,200,60,0,
15566669099,,ACC开，已定位，GPS定位,40.844402,111.742612,200,60,0,
15566669100,,ACC开，已定位，GPS定位,39.904934,116.403561,200,60,0,
15566669101,,ACC开，已定位，GPS定位,39.090038,117.191831,200,60,0,
15566669102,,ACC开，已定位，GPS定位,38.491048,106.22418,200,60,0,
15566669103,,ACC开，已定位，GPS定位,37.87349,112.542767,200,60,0,
15566669104,,ACC开，已定位，GPS定位,38.046731,114.506573,200,60,0,
15566669105,,ACC开，已定位，GPS定位,36.670537,117.020193,200,60,0,
15566669106,,ACC开，已定位，GPS定位,36.661725,101.672293,200,60,0,
15566669107,,ACC开，已定位，GPS定位,36.095634,103.693777,200,60,0,
15566669108,,ACC开，已定位，GPS定位,34.372825,108.791433,200,60,0,
15566669109,,ACC开，已定位，GPS定位,34.770861,113.537527,200,60,0,
15566669203,,ACC开，已定位，GPS定位,29.699891,91.125418,200,60,0,
15566669204,,ACC开，已定位，GPS定位,30.573995,104.023367,200,60,0,
15566669205,,ACC开，已定位，GPS定位,29.568085,106.544729,200,60,0,
15566669206,,ACC开，已定位，GPS定位,30.59348,114.29957,200,60,0,
15566669207,,ACC开，已定位，GPS定位,31.822324,117.222652,200,60,0,
15566669208,,ACC开，已定位，GPS定位,32.064565,118.79023,200,60,0,
15566669209,,ACC开，已定位，GPS定位,31.232892,121.465995,200,60,0,
15566669210,,ACC开，已定位，GPS定位,24.893879,102.827689,200,60,0,
15566669211,,ACC开，已定位，GPS定位,26.662275,106.62288,200,60,0,
15566669212,,ACC开，已定位，GPS定位,28.248313,112.914465,200,60,0,
15566669213,,ACC开，已定位，GPS定位,28.694888,115.847619,200,60,0,
15566669214,,ACC开，已定位，GPS定位,30.249067,120.206444,200,60,0,
15566669215,,ACC开，已定位，GPS定位,22.819314,108.365243,200,60,0,
