终端号,报警标志,状态,纬度,经度,高程,速度,方向,位置附加信息,,,,
,无,ACC开，已定位，GPS定位,37.87784,112.161116,300,50,0,油量：40%；速度4；里程：1200,,,,1
,无,ACC开，已定位，GPS定位,37.877941,112.161051,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.87799,112.161035,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.878059,112.161018,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.878218,112.160937,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.878251,112.160904,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.878255,112.160839,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.878255,112.160774,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.878243,112.160465,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.87823,112.160091,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.878206,112.159602,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.878169,112.158951,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.878157,112.158528,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.878202,112.158447,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.878295,112.158382,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.878413,112.158349,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.879048,112.158186,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.879121,112.15817,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.880041,112.15804,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.880863,112.15804,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.882071,112.158186,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.883398,112.158365,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.88479,112.158528,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.886311,112.158723,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.887292,112.158919,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.88835,112.159326,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.888826,112.159554,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.88964,112.160107,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.890698,112.160986,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.891235,112.161376,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.891369,112.16136,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.891723,112.161181,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.891898,112.160986,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.89202,112.160725,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.892285,112.1597,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.892561,112.158561,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.892651,112.157747,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.89261,112.15734,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.89246,112.156689,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.892378,112.156477,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.892199,112.155875,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.891902,112.154817,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.891601,112.153759,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.891528,112.153092,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.891573,112.152457,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.891792,112.15166,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.892175,112.150764,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.892252,112.150569,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.892252,112.150569,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.892252,112.150569,300,50,0,油量：40%；速度4；里程：1200,,,,
,无,ACC开，已定位，GPS定位,37.892252,112.150569,300,50,0,油量：40%；速度4；里程：1200,,,,
